LSOA code (2021),LSOA name (2021),Local Authority District code (2024),Local Authority District name (2024),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Children Index (IDACI) Score (rate),Income Deprivation Affecting Children Index (IDACI) Rank (where 1 is most deprived),Income Deprivation Affecting Children Index (IDACI) Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Older People (IDAOPI) Score (rate),Income Deprivation Affecting Older People (IDAOPI) Rank (where 1 is most deprived),Income Deprivation Affecting Older People (IDAOPI) Decile (where 1 is most deprived 10% of LSOAs),Children and Young People Sub-domain Score,Children and Young People Sub-domain Rank (where 1 is most deprived),Children and Young People Sub-domain Decile (where 1 is most deprived 10% of LSO,Adult Skills Sub-domain Score,Adult Skills Sub-domain Rank (where 1 is most deprived),Adult Skills Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Geographical Barriers Sub-domain Score,Geographical Barriers Sub-domain Rank (where 1 is most deprived),Geographical Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Wider Barriers Sub-domain Score,Wider Barriers Sub-domain Rank (where 1 is most deprived),Wider Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Indoors Sub-domain Score,Indoors Sub-domain Rank (where 1 is most deprived),Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Outdoors Sub-domain Score,Outdoors Sub-domain Rank (where 1 is most deprived),Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Total population: mid 2022,Dependent Children aged 0-15: mid 2022,Older population aged 60 and over: mid 2022,Working age population 18-66 (for use with Employment Deprivation Domain): mid 2022
E01033442,East Suffolk 025F,E07000244,East Suffolk,5.236,30635,10,0.107,25155,8,0.042,31986,10,6.747,26230,8,-0.497,23684,8,-1.255,31590,10,20.082,16908,6,0.826,33515,10,0.142,27402,9,0.066,27233,9,-0.323,21299,7,0.134,29477,9,43.942,7946,3,-1.775,23878,8,-1.208,33179,10,-0.984,31128,10,1611,427,125,1058
E01033443,East Suffolk 023B,E07000244,East Suffolk,10.554,24321,8,0.053,31873,10,0.043,31760,10,6.89,26050,8,-0.482,23483,7,-1.523,32799,10,44.229,1135,1,17.293,17286,6,0.072,31948,10,0.057,28801,9,-0.425,22909,7,0.153,27068,9,75.024,1133,1,0.09,15429,5,0.226,11582,4,-1.036,31533,10,1652,319,328,1080
E01033444,East Suffolk 025G,E07000244,East Suffolk,5.281,30589,10,0.104,25446,8,0.05,30464,10,5.846,27244,9,-0.411,22494,7,-1.021,29936,9,18.133,19663,6,1.258,33266,10,0.14,27549,9,0.11,20735,7,-0.478,23649,8,0.14,28758,9,43.979,7926,3,-2.986,28439,9,-1.211,33192,10,-0.792,29186,9,1512,440,81,984
E01033445,East Suffolk 023C,E07000244,East Suffolk,12.91,21535,7,0.109,24797,8,0.062,27692,9,17.816,15910,5,-0.014,16637,5,-1.18,31115,10,39.878,2153,1,3.83,30800,10,0.112,29656,9,0.142,17488,6,0.389,10976,4,0.192,21315,7,66.858,2175,1,0.534,13500,4,-0.605,28170,9,-0.803,29319,9,1740,384,361,1058
E01033446,East Suffolk 023D,E07000244,East Suffolk,14.901,19423,6,0.101,25893,8,0.052,29994,9,19.735,14560,5,-0.888,28417,9,-1.154,30924,10,44.715,1046,1,32.455,8091,3,0.238,20439,7,0.089,23501,7,0.375,11146,4,0.217,17702,6,82.527,378,1,-3.102,28791,9,0.78,4258,2,-1.012,31363,10,2821,297,912,1859
E01033447,East Suffolk 025H,E07000244,East Suffolk,4.035,31823,10,0.045,32489,10,0.05,30485,10,5.74,27366,9,-0.695,26297,8,-1.261,31619,10,20.355,16537,5,4.915,29592,9,0.063,32386,10,0.034,32302,10,-0.916,28797,9,0.175,23840,8,42.049,9080,3,-1.003,20480,7,-0.889,31502,10,-0.192,19225,6,1463,274,453,812
E01033448,East Suffolk 023E,E07000244,East Suffolk,22.261,12955,4,0.141,21113,7,0.103,18082,6,18.055,15742,5,-0.248,20072,6,-0.56,24733,8,47.176,637,1,45.267,3287,1,0.27,18440,6,0.087,23807,8,0.332,11745,4,0.204,19524,6,83.803,288,1,-2.318,26071,8,0.952,2648,1,0.16,12776,4,1316,183,520,739
E01033449,East Suffolk 023F,E07000244,East Suffolk,14.543,19834,6,0.148,20320,7,0.087,21542,7,10.466,22253,7,-0.109,18020,6,-0.355,21874,7,35.635,3615,2,13.021,20851,7,0.236,20612,7,0.119,19857,6,-0.231,19907,6,0.183,22690,7,69.296,1832,1,-1.517,22763,7,0.031,15120,5,-1.117,32090,10,1857,405,496,1061
E01033450,East Suffolk 028E,E07000244,East Suffolk,6.543,29145,9,0.084,28233,9,0.064,27006,9,13.322,19560,6,-0.606,25164,8,-1.447,32540,10,21.097,15528,5,4.234,30369,9,0.138,27734,9,0.067,27030,9,-0.386,22327,7,0.233,15685,5,43.909,7960,3,-1.297,21787,7,-0.586,27858,9,-0.728,28353,9,2250,240,1142,1109
E01035154,East Suffolk 014C,E07000244,East Suffolk,12.152,22420,7,0.114,24172,8,0.092,20279,7,15.762,17497,6,-0.651,25753,8,-0.886,28643,9,24.588,11337,4,27.439,10695,4,0.27,18462,6,0.062,27906,9,0.35,11476,4,0.171,24480,8,50.273,5377,2,-1.627,23253,7,0.569,6647,2,-0.494,24774,8,2188,213,1313,937
E01029958,Ipswich 007A,E07000202,Ipswich,17.742,16605,5,0.188,16561,5,0.102,18371,6,13.229,19653,6,0.231,13086,4,-0.128,18692,6,10.506,29661,9,46.976,2881,1,0.295,17056,6,0.141,17528,6,-0.118,18185,6,0.205,19431,6,23.748,25791,8,-0.357,17439,6,0.868,3351,1,0.682,5953,2,1389,241,331,903
E01029960,Ipswich 007C,E07000202,Ipswich,20.321,14457,5,0.218,14406,5,0.128,14085,5,17.96,15801,5,0.096,15005,5,0.428,10541,4,16.518,22061,7,36.412,6317,2,0.37,13301,4,0.152,16605,5,0.236,13032,4,0.217,17767,6,24.548,25119,8,1.339,10438,4,0.614,6128,2,0.514,7761,3,1999,360,293,1414
E01029961,Ipswich 007D,E07000202,Ipswich,19.825,14855,5,0.207,15120,5,0.12,15233,5,17.883,15863,5,0.242,12943,4,0.258,12952,4,11.35,28736,9,41.374,4458,2,0.291,17260,6,0.147,17006,6,0.083,15207,5,0.236,15341,5,24.618,25048,8,-0.177,16658,5,0.823,3801,2,0.297,10644,4,1510,334,222,1013
E01029962,Ipswich 007E,E07000202,Ipswich,27.247,9735,3,0.298,9643,3,0.134,13280,4,27.318,10213,4,0.414,10730,4,0.5,9541,3,13.667,25932,8,52.905,1709,1,0.509,7716,3,0.204,13013,4,0.493,9651,3,0.282,10332,4,22.042,27170,9,0.787,12464,4,1.012,2195,1,0.689,5884,2,1663,328,185,1194
E01029963,Ipswich 009A,E07000202,Ipswich,6.51,29188,9,0.047,32309,10,0.047,31122,10,8.56,24186,8,-1.057,29960,9,0.65,7618,3,10.071,30087,9,14.517,19515,6,0.11,29787,9,0.019,33545,10,-0.58,25065,8,0.192,21340,7,34.305,15408,5,-3.643,30295,9,-0.621,28419,9,0.7,5756,2,1644,258,604,873
E01029964,Ipswich 009B,E07000202,Ipswich,11.727,22906,7,0.154,19646,6,0.091,20424,7,13.465,19455,6,-0.279,20539,7,-1.22,31355,10,11.112,29034,9,30.453,9036,3,0.253,19492,6,0.092,23041,7,-0.225,19833,6,0.219,17446,6,27.136,22726,7,-0.635,18766,6,0.417,8668,3,0.438,8632,3,1348,295,266,841
E01029965,Ipswich 009C,E07000202,Ipswich,6.798,28857,9,0.068,30282,9,0.066,26610,8,14.199,18794,6,-0.399,22330,7,-0.29,20986,7,8.791,31204,10,10.862,22912,7,0.101,30333,9,0.037,31904,10,-0.016,16678,5,0.205,19433,6,31.704,18031,6,-3.179,29035,9,-0.539,27033,9,0.249,11365,4,1507,234,523,854
E01029966,Ipswich 009D,E07000202,Ipswich,8.246,27156,9,0.081,28610,9,0.065,26924,8,13.954,19008,6,-0.294,20736,7,-0.761,27285,9,10.155,30012,9,26.654,11161,4,0.072,31964,10,0.099,22104,7,-0.305,21031,7,0.232,15745,5,31.119,18639,6,-2.018,24905,8,0.143,13031,4,0.69,5873,2,1617,218,549,973
E01029967,Ipswich 009E,E07000202,Ipswich,3.249,32515,10,0.062,30982,10,0.054,29690,9,8.575,24164,8,-0.729,26699,8,-1.435,32484,10,10.889,29287,9,1.35,33196,10,0.102,30285,9,0.042,31262,10,-0.731,26841,8,0.201,19895,6,35.231,14479,5,-3.509,29966,9,-0.978,32171,10,-0.967,30970,10,1408,242,627,651
E01029968,Ipswich 012A,E07000202,Ipswich,31.479,7596,3,0.294,9845,3,0.149,11388,4,49.334,3362,1,0.433,10495,4,0.843,5478,2,19.934,17125,6,41.904,4286,2,0.465,9340,3,0.22,12058,4,1.402,2009,1,0.335,6100,2,25.918,23881,8,2.094,8054,3,0.851,3522,2,0.236,11591,4,1573,340,236,1052
E01029969,Ipswich 012B,E07000202,Ipswich,30.264,8154,3,0.277,10736,4,0.167,9535,3,32.643,7905,3,0.938,5141,2,0.582,8479,3,27.991,8137,3,26.183,11433,4,0.469,9154,3,0.152,16607,5,0.442,10292,4,0.337,5934,2,36.886,12915,4,2.393,7236,3,0.178,12382,4,0.569,7144,3,1519,301,385,922
E01029970,Ipswich 012C,E07000202,Ipswich,19.726,14923,5,0.213,14720,5,0.138,12741,4,24.213,11792,4,0.295,12259,4,0.198,13842,5,21.563,14968,5,10.046,23713,8,0.37,13298,4,0.148,16928,6,0.034,15944,5,0.305,8251,3,32.032,17677,6,1.635,9457,3,-0.402,24293,8,-0.054,16540,5,1686,287,436,1062
E01029971,Ipswich 012D,E07000202,Ipswich,37.084,5432,2,0.393,5552,2,0.251,3681,2,48.01,3608,2,0.878,5685,2,0.585,8439,3,23.158,12985,4,4.884,29634,9,0.501,7988,3,0.32,7330,3,1.068,4030,2,0.376,3581,2,35.481,14248,5,1.406,10186,4,-0.515,26561,8,-0.761,28797,9,1526,337,379,886
E01029973,Ipswich 002A,E07000202,Ipswich,3.751,32088,10,0.065,30653,10,0.047,31088,10,6.489,26522,8,-0.513,23886,8,-1.058,30217,9,13.005,26750,8,5.404,29019,9,0.11,29768,9,0.035,32216,10,-0.958,29194,9,0.187,22004,7,34.274,15443,5,-1.641,23320,7,-0.653,28856,9,-0.34,21974,7,1461,221,567,819
