LSOA code (2021),LSOA name (2021),Local Authority District code (2024),Local Authority District name (2024),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Children Index (IDACI) Score (rate),Income Deprivation Affecting Children Index (IDACI) Rank (where 1 is most deprived),Income Deprivation Affecting Children Index (IDACI) Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Older People (IDAOPI) Score (rate),Income Deprivation Affecting Older People (IDAOPI) Rank (where 1 is most deprived),Income Deprivation Affecting Older People (IDAOPI) Decile (where 1 is most deprived 10% of LSOAs),Children and Young People Sub-domain Score,Children and Young People Sub-domain Rank (where 1 is most deprived),Children and Young People Sub-domain Decile (where 1 is most deprived 10% of LSO,Adult Skills Sub-domain Score,Adult Skills Sub-domain Rank (where 1 is most deprived),Adult Skills Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Geographical Barriers Sub-domain Score,Geographical Barriers Sub-domain Rank (where 1 is most deprived),Geographical Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Wider Barriers Sub-domain Score,Wider Barriers Sub-domain Rank (where 1 is most deprived),Wider Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Indoors Sub-domain Score,Indoors Sub-domain Rank (where 1 is most deprived),Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Outdoors Sub-domain Score,Outdoors Sub-domain Rank (where 1 is most deprived),Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Total population: mid 2022,Dependent Children aged 0-15: mid 2022,Older population aged 60 and over: mid 2022,Working age population 18-66 (for use with Employment Deprivation Domain): mid 2022
E01033131,Ipswich 014G,E07000202,Ipswich,42.827,3875,2,0.459,3533,2,0.254,3520,2,59.415,1668,1,1.049,4236,2,0.88,5149,2,20.38,16509,5,5.55,28851,9,0.588,5080,2,0.369,5612,2,1.322,2409,1,0.416,1899,1,31.975,17725,6,1.322,10500,4,-1.166,33075,10,-0.003,15593,5,1799,502,273,1073
E01030037,Mid Suffolk 005A,E07000203,Mid Suffolk,13.345,21084,7,0.106,25257,8,0.067,26312,8,11.615,21164,7,-0.659,25854,8,-1.4,32340,10,37.544,2909,1,35.047,6886,3,0.171,25196,8,0.093,22889,7,-0.282,20687,7,0.203,19718,6,72.815,1378,1,-1.835,24118,8,0.803,4033,2,-0.453,24053,8,1217,192,431,729
E01030038,Mid Suffolk 005B,E07000203,Mid Suffolk,12.272,22270,7,0.104,25562,8,0.068,25948,8,13.78,19175,6,-0.603,25131,8,-1.076,30363,9,37.567,2898,1,20.275,15111,5,0.255,19346,6,0.07,26491,8,-0.038,16981,6,0.202,19811,6,74.287,1205,1,-2.467,26646,8,0.287,10613,4,-0.497,24810,8,1196,143,491,703
E01030039,Mid Suffolk 002A,E07000203,Mid Suffolk,18.405,16002,5,0.103,25663,8,0.08,23123,7,21.868,13125,4,-0.907,28622,9,-1.13,30765,10,47.822,547,1,39.807,5009,2,0.246,19943,6,0.06,28258,9,0.512,9424,3,0.221,17261,6,84.507,246,1,-2.34,26155,8,0.908,3011,1,-0.345,22060,7,1449,194,561,824
E01030040,Mid Suffolk 004A,E07000203,Mid Suffolk,15.54,18730,6,0.136,21641,7,0.066,26499,8,12.08,20721,7,-0.702,26391,8,-0.974,29542,9,45.452,899,1,29.153,9751,3,0.321,15686,5,0.078,25198,8,-0.19,19301,6,0.199,20278,7,82.369,394,1,-2.413,26452,8,0.643,5787,2,-0.577,26156,8,1310,170,522,753
E01030041,Mid Suffolk 011A,E07000203,Mid Suffolk,13.966,20443,7,0.106,25192,8,0.07,25665,8,14.699,18384,6,-0.363,21771,7,-0.861,28387,9,40.101,2089,1,22.862,13307,4,0.203,22796,7,0.065,27382,9,0.149,14274,5,0.19,21696,7,77.87,816,1,-2.847,28012,9,0.389,9097,3,-0.452,24044,8,2383,327,911,1370
E01030042,Mid Suffolk 012A,E07000203,Mid Suffolk,11.293,23419,7,0.087,27795,9,0.08,23119,7,14.151,18837,6,-0.692,26269,8,-0.614,25480,8,31.056,5946,2,19.843,15407,5,0.186,24025,8,0.058,28626,9,0.147,14300,5,0.182,22735,7,59.82,3251,1,-1.083,20834,7,-0.091,17638,6,0.485,8089,3,1770,255,642,1024
E01030043,Mid Suffolk 011B,E07000203,Mid Suffolk,9.623,25408,8,0.122,23107,7,0.066,26437,8,12.287,20538,7,-0.451,23066,7,-0.907,28837,9,28.767,7494,3,5.262,29172,9,0.197,23216,7,0.12,19708,6,-0.023,16770,5,0.181,22902,7,53.14,4607,2,-0.594,18546,6,-0.879,31431,10,-0.148,18357,6,2664,545,384,1829
E01030044,Mid Suffolk 012B,E07000203,Mid Suffolk,16.377,17840,6,0.151,20010,6,0.098,19134,6,21.359,13463,4,0.211,13366,4,-0.379,22223,7,33.169,4738,2,5.196,29257,9,0.206,22564,7,0.148,16964,6,0.355,11417,4,0.239,14953,5,54.738,4265,2,0.547,13448,4,-0.852,31171,10,-0.175,18904,6,1372,216,534,722
E01030045,Mid Suffolk 012C,E07000203,Mid Suffolk,7.967,27509,9,0.099,26179,8,0.056,29011,9,9.475,23228,7,-0.403,22395,7,-0.547,24562,8,25.176,10684,4,6.643,27536,9,0.179,24565,8,0.06,28162,9,-0.603,25331,8,0.205,19466,6,49.605,5592,2,-1.181,21269,7,-0.662,28993,9,-0.134,18088,6,1740,250,589,1013
E01030046,Mid Suffolk 012D,E07000203,Mid Suffolk,10.968,23819,8,0.091,27262,9,0.06,28181,9,8.337,24425,8,-0.647,25697,8,-1.145,30861,10,35.129,3841,2,28.332,10185,4,0.151,26683,8,0.073,25923,8,-0.569,24899,8,0.188,21911,7,69.213,1843,1,-1.727,23691,8,0.459,8107,3,0.093,13870,5,1732,247,615,983
E01030047,Mid Suffolk 012E,E07000203,Mid Suffolk,14.225,20159,6,0.154,19741,6,0.083,22285,7,16.936,16601,5,0.073,15346,5,-0.661,26060,8,27.062,8884,3,18.262,16566,5,0.275,18169,6,0.118,19882,6,0.149,14266,5,0.217,17792,6,48.842,5862,2,-0.301,17195,6,-0.106,17942,6,0.35,9875,3,1216,201,356,742
E01030048,Mid Suffolk 007A,E07000203,Mid Suffolk,12.094,22498,7,0.118,23606,7,0.075,24354,8,8.016,24769,8,-1.023,29664,9,-1.176,31083,10,29.23,7126,3,39.317,5171,2,0.175,24911,8,0.096,22474,7,-0.42,22825,7,0.17,24592,8,62.021,2913,1,-2.563,27006,9,0.946,2693,1,-0.846,29824,9,2468,428,901,1330
E01030049,Mid Suffolk 004B,E07000203,Mid Suffolk,13.019,21426,7,0.147,20454,7,0.074,24443,8,9.284,23421,7,-0.951,29043,9,-1.096,30522,10,35.396,3709,2,28.552,10070,3,0.303,16644,5,0.078,25206,8,-0.45,23250,7,0.19,21578,7,72.533,1410,1,-3.055,28650,9,0.487,7729,3,0.034,14963,5,1953,326,618,1185
E01030050,Mid Suffolk 004C,E07000203,Mid Suffolk,6.357,29350,9,0.091,27281,9,0.058,28662,9,9.054,23655,8,-0.731,26732,8,-0.706,26646,8,23.584,12488,4,1.798,32874,10,0.142,27401,9,0.055,29104,9,-0.289,20782,7,0.17,24634,8,55.567,4094,2,-5.177,32728,10,-0.829,30963,10,-1.064,31706,10,2492,511,550,1545
E01030051,Mid Suffolk 006A,E07000203,Mid Suffolk,17.61,16733,5,0.221,14151,5,0.125,14525,5,26.287,10699,4,-0.252,20119,6,-0.181,19472,6,25.93,9948,3,3.34,31305,10,0.418,11194,4,0.162,15837,5,0.289,12296,4,0.298,8895,3,58.635,3454,2,-3.987,31050,10,-0.775,30409,10,-0.59,26360,8,2024,353,622,1182
E01030052,Mid Suffolk 001A,E07000203,Mid Suffolk,17.577,16762,5,0.181,17171,6,0.118,15539,5,23.399,12249,4,-0.366,21820,7,-0.694,26493,8,26.778,9161,3,28.978,9856,3,0.271,18358,6,0.155,16362,5,0.297,12208,4,0.269,11644,4,51.143,5138,2,-0.892,19982,6,0.628,5964,2,-0.515,25112,8,2272,359,876,1202
E01030053,Mid Suffolk 003A,E07000203,Mid Suffolk,18.686,15779,5,0.121,23234,7,0.097,19348,6,13.787,19162,6,-0.692,26260,8,-1.287,31762,10,46.03,810,1,42.031,4243,2,0.182,24324,8,0.102,21695,7,-0.19,19309,6,0.22,17413,6,80.161,569,1,-1.053,20704,7,0.992,2350,1,-0.588,26325,8,2313,272,1018,1288
E01030054,Mid Suffolk 002B,E07000203,Mid Suffolk,12.884,21558,7,0.081,28652,9,0.073,24721,8,9.268,23437,7,-0.615,25287,8,-1.664,33145,10,37.877,2810,1,35.781,6570,2,0.166,25562,8,0.056,28847,9,-0.416,22777,7,0.187,22057,7,75.498,1066,1,-2.959,28356,9,0.833,3705,2,-0.558,25859,8,1433,187,552,841
E01030055,Mid Suffolk 002C,E07000203,Mid Suffolk,16.284,17952,6,0.119,23547,7,0.073,24887,8,12.59,20225,6,-0.686,26179,8,-0.861,28374,9,43.299,1317,1,39.136,5239,2,0.161,25953,8,0.092,23091,7,-0.293,20850,7,0.216,17937,6,79.275,654,1,-1.873,24290,8,0.941,2737,1,-0.827,29634,9,1535,243,515,910
E01030056,Mid Suffolk 006B,E07000203,Mid Suffolk,18.311,16079,5,0.176,17574,6,0.108,17189,6,25.407,11151,4,-0.415,22567,7,-0.431,22962,7,35.105,3852,2,20.697,14814,5,0.316,15924,5,0.11,20762,7,0.706,7252,3,0.228,16246,5,68.09,2009,1,-1.369,22102,7,0.153,12838,4,0.029,15043,5,2412,388,842,1381
E01030057,Mid Suffolk 007B,E07000203,Mid Suffolk,15.413,18869,6,0.074,29472,9,0.052,30072,9,7.315,25570,8,-1.294,31504,10,-1.254,31577,10,44.688,1054,1,55.222,1413,1,0.101,30308,9,0.068,26787,8,-0.388,22361,7,0.156,26708,8,82.28,398,1,-2.895,28162,9,1.171,1276,1,0.219,11850,4,2328,343,809,1415
E01030058,Mid Suffolk 001B,E07000203,Mid Suffolk,16.684,17574,6,0.086,28014,9,0.065,26807,8,10.986,21754,7,-1.004,29527,9,-0.951,29281,9,48.427,481,1,45.519,3223,1,0.109,29845,9,0.077,25371,8,-0.121,18226,6,0.176,23658,8,84.382,252,1,-1.937,24574,8,1.081,1765,1,-0.669,27510,9,2096,289,875,1171
E01030059,Mid Suffolk 005C,E07000203,Mid Suffolk,16.673,17584,6,0.104,25453,8,0.097,19353,6,15.95,17350,6,-0.695,26293,8,-0.787,27538,9,40.996,1860,1,35.935,6507,2,0.174,24980,8,0.071,26255,8,0.227,13149,4,0.194,21058,7,78.309,758,1,-2.605,27155,9,0.839,3649,2,-0.574,26111,8,2402,356,872,1365
E01030060,Mid Suffolk 010A,E07000203,Mid Suffolk,13.106,21333,7,0.167,18394,6,0.093,20118,6,15.612,17641,6,-0.31,20988,7,-0.589,25130,8,25.5,10374,4,11.476,22303,7,0.379,12902,4,0.11,20720,7,-0.101,17946,6,0.231,15922,5,48.017,6172,2,-0.644,18815,6,-0.333,22851,7,0.006,15437,5,1555,200,522,1002
E01030061,Mid Suffolk 011C,E07000203,Mid Suffolk,21.07,13870,5,0.243,12733,4,0.151,11154,4,29.209,9313,3,0.217,13280,4,-0.234,20198,6,21.489,15060,5,13.252,20647,7,0.342,14645,5,0.198,13367,4,0.691,7395,3,0.272,11329,4,43.014,8429,3,-0.875,19906,6,-0.139,18647,6,-0.185,19092,6,1703,250,614,982
E01030062,Mid Suffolk 011D,E07000203,Mid Suffolk,6.529,29165,9,0.076,29280,9,0.059,28281,9,10.581,22139,7,-0.605,25150,8,-1.103,30572,10,22.025,14401,5,9.758,24015,8,0.143,27333,9,0.051,29786,9,-0.471,23545,7,0.208,18987,6,45.131,7351,3,-1.272,21667,7,-0.262,21334,7,-0.416,23393,7,1456,207,511,853
E01030063,Mid Suffolk 009A,E07000203,Mid Suffolk,12.008,22585,7,0.117,23802,8,0.075,24222,8,10.689,22034,7,-0.373,21925,7,-0.894,28720,9,34.983,3899,2,14.587,19455,6,0.161,25961,8,0.091,23118,7,-0.252,20205,6,0.188,21919,7,66.73,2194,1,-1.063,20744,7,0.092,13943,5,-0.933,30706,10,2825,510,899,1590
E01030064,Mid Suffolk 001C,E07000203,Mid Suffolk,12.548,21943,7,0.092,27156,9,0.079,23316,7,11.515,21261,7,-1.039,29792,9,-0.386,22312,7,32.12,5327,2,33.374,7661,3,0.136,27854,9,0.069,26703,8,-0.434,23027,7,0.216,17867,6,65.308,2403,1,-1.978,24736,8,0.761,4474,2,-0.486,24624,8,2458,350,947,1379
E01030065,Mid Suffolk 006C,E07000203,Mid Suffolk,15.979,18261,6,0.113,24265,8,0.079,23396,7,13.91,19056,6,-0.925,28806,9,-1.237,31477,10,43.878,1205,1,37.139,6024,2,0.216,21912,7,0.066,27189,9,0.032,15965,5,0.195,20823,7,82.092,411,1,-3.439,29780,9,0.871,3330,1,-0.601,26511,8,2286,329,889,1296
E01030066,Mid Suffolk 002D,E07000203,Mid Suffolk,17.807,16532,5,0.14,21151,7,0.101,18602,6,21.644,13255,4,-0.758,27025,9,-1.187,31154,10,39.763,2190,1,34.422,7145,3,0.225,21300,7,0.101,21892,7,0.451,10188,4,0.228,16312,5,74.681,1166,1,-1.448,22479,7,0.836,3675,2,-1.125,32133,10,1645,244,720,848
E01030067,Mid Suffolk 002E,E07000203,Mid Suffolk,15.466,18812,6,0.101,25855,8,0.065,26796,8,17.201,16369,5,-1.036,29765,9,-0.927,29024,9,35.441,3691,2,50.344,2173,1,0.193,23556,7,0.068,26835,8,0.265,12642,4,0.204,19589,6,70.404,1691,1,-1.975,24719,8,1.125,1522,1,-0.116,17796,6,1312,200,435,770
E01030068,Mid Suffolk 002F,E07000203,Mid Suffolk,16.635,17623,6,0.131,22124,7,0.079,23401,7,17.078,16483,5,-0.747,26903,8,-1.38,32248,10,39.09,2395,1,42.448,4104,2,0.213,22084,7,0.115,20229,6,0.114,14764,5,0.223,16979,6,75.015,1135,1,-1.883,24339,8,1.006,2234,1,-0.66,27377,9,1839,273,621,1100
E01030069,Mid Suffolk 009B,E07000203,Mid Suffolk,12.779,21681,7,0.05,32090,10,0.069,25780,8,12.741,20108,6,-0.902,28573,9,-0.626,25622,8,42.476,1497,1,26.822,11046,4,0.052,32887,10,0.047,30498,10,-0.224,19821,6,0.211,18620,6,76.256,971,1,-0.931,20163,6,0.615,6114,2,-1.224,32651,10,1529,201,680,875
E01030070,Mid Suffolk 011E,E07000203,Mid Suffolk,10.699,24146,8,0.044,32588,10,0.023,33556,10,7.495,25359,8,-0.899,28529,9,-2.463,33736,10,47.859,542,1,18.412,16468,5,0.103,30203,9,0.061,28094,9,-0.663,26090,8,0.184,22529,7,80.905,513,1,-0.613,18652,6,0.297,10465,4,-1.805,33692,10,2037,349,263,1441
E01030071,Mid Suffolk 010B,E07000203,Mid Suffolk,18.628,15828,5,0.132,21985,7,0.107,17467,6,18.432,15485,5,0.118,14673,5,0.886,5106,2,15.316,23753,8,37.116,6039,2,0.195,23349,7,0.075,25591,8,0.086,15159,5,0.242,14651,5,32.017,17687,6,-0.159,16589,5,0.704,5066,2,0.292,10736,4,1504,202,474,938
E01030072,Mid Suffolk 009C,E07000203,Mid Suffolk,12.917,21531,7,0.152,19932,6,0.094,19869,6,20.53,13993,5,-0.466,23258,7,0.103,15270,5,22.734,13515,5,3.111,31549,10,0.283,17718,6,0.08,24795,8,0.21,13420,4,0.25,13712,5,35.378,14350,5,1.321,10509,4,-0.671,29114,9,-0.88,30181,9,1666,262,541,969
E01030073,Mid Suffolk 008A,E07000203,Mid Suffolk,19.47,15124,5,0.221,14147,5,0.165,9748,3,19.904,14444,5,0.175,13879,5,0.449,10244,4,12.877,26914,8,7.925,26080,8,0.346,14445,5,0.16,15973,5,-0.019,16724,5,0.269,11627,4,30.415,19400,6,-0.64,18794,6,-0.335,22886,7,-0.569,26032,8,1571,214,698,800
E01030075,Mid Suffolk 009D,E07000203,Mid Suffolk,3.221,32537,10,0.058,31394,10,0.052,30033,9,7.623,25226,8,-0.892,28460,9,-1.371,32210,10,15.298,23774,8,0.373,33695,10,0.072,31970,10,0.055,29058,9,-0.481,23698,8,0.171,24526,8,38.126,11888,4,-1.955,24638,8,-1.319,33433,10,-1.229,32682,10,2136,458,371,1401
E01030076,Mid Suffolk 010D,E07000203,Mid Suffolk,16.755,17510,6,0.169,18190,6,0.1,18798,6,28.364,9687,3,0.072,15371,5,-0.176,19398,6,22.569,13724,5,17.387,17225,6,0.292,17222,6,0.104,21466,7,0.746,6810,3,0.254,13249,4,33.569,16149,5,1.634,9463,3,-0.194,19861,6,0.422,8849,3,1642,298,367,1083
E01030077,Mid Suffolk 008B,E07000203,Mid Suffolk,32.226,7281,3,0.35,7195,3,0.224,5096,2,34.594,7210,3,0.955,4997,2,0.665,7424,3,18.823,18657,6,5.157,29308,9,0.485,8583,3,0.299,8153,3,0.888,5488,2,0.294,9298,3,30.421,19392,6,1.174,11033,4,-0.776,30419,10,-0.24,20140,6,1548,303,475,842
E01030078,Mid Suffolk 010E,E07000203,Mid Suffolk,8.373,27010,9,0.117,23693,8,0.075,24181,8,15.645,17602,6,-0.56,24541,8,-1.334,32018,10,20.413,16467,5,5.077,29399,9,0.219,21735,7,0.056,28851,9,-0.29,20797,7,0.25,13685,5,41.108,9684,3,-0.714,19132,6,-0.876,31405,10,-0.175,18907,6,1596,206,464,1080
E01030079,Mid Suffolk 008C,E07000203,Mid Suffolk,47.092,2930,1,0.424,4560,2,0.279,2513,1,60.122,1558,1,1.355,2324,1,0.888,5085,2,32.647,5027,2,1.105,33356,10,0.596,4829,2,0.282,8896,3,1.521,1467,1,0.391,2846,1,44.397,7714,3,2.126,7946,3,-0.922,31781,10,-1.33,33033,10,1501,306,342,937
E01030080,Mid Suffolk 008D,E07000203,Mid Suffolk,17.408,16914,6,0.18,17196,6,0.121,15083,5,29.213,9310,3,0.048,15713,5,0.103,15264,5,19.396,17868,6,9.259,24564,8,0.304,16552,5,0.111,20629,7,0.462,10029,3,0.304,8365,3,38.165,11858,4,-0.295,17163,6,-0.167,19284,6,-1.079,31829,10,1654,266,485,995
E01030081,Mid Suffolk 005D,E07000203,Mid Suffolk,15.058,19267,6,0.19,16421,5,0.091,20410,7,21.32,13485,4,-0.473,23367,7,-0.576,24967,8,30.573,6253,2,10.683,23069,7,0.396,12160,4,0.118,19906,6,0.478,9812,3,0.22,17422,6,53.752,4476,2,-0.076,16218,5,-0.182,19613,6,-0.497,24819,8,2698,438,868,1582
E01030083,Mid Suffolk 007C,E07000203,Mid Suffolk,13.028,21415,7,0.091,27293,9,0.059,28463,9,8.575,24163,8,-0.975,29263,9,-1.093,30500,10,39.081,2401,1,40.841,4638,2,0.183,24310,8,0.056,28860,9,-0.412,22721,7,0.177,23512,7,75.901,1017,1,-2.391,26366,8,0.891,3157,1,-0.084,17143,6,2320,310,838,1390
E01030084,Mid Suffolk 004D,E07000203,Mid Suffolk,10.693,24153,8,0.196,15969,5,0.074,24539,8,8.861,23869,8,-0.884,28356,9,-0.692,26470,8,27.576,8456,3,4.97,29523,9,0.384,12688,4,0.051,29746,9,-0.213,19646,6,0.157,26500,8,61.262,3008,1,-3.674,30381,10,-0.591,27951,9,-0.522,25244,8,2075,379,689,1143
E01030085,Mid Suffolk 004E,E07000203,Mid Suffolk,9.867,25125,8,0.116,23918,8,0.089,20919,7,6.757,26210,8,-0.406,22425,7,-0.629,25664,8,27.477,8536,3,4.105,30498,10,0.181,24440,8,0.092,23012,7,-0.935,28983,9,0.19,21643,7,58.88,3418,2,-2.659,27343,9,-0.712,29707,9,-0.5,24870,8,1613,275,522,912
E01030086,Mid Suffolk 006D,E07000203,Mid Suffolk,11.718,22913,7,0.085,28087,9,0.066,26655,8,11.069,21674,7,-0.766,27128,9,-1.054,30191,9,41.879,1623,1,16.302,18074,6,0.124,28778,9,0.066,27261,9,0.017,16202,5,0.158,26395,8,80.096,577,1,-3.395,29656,9,0.057,14631,5,-0.305,21343,7,1194,186,392,731
E01030087,Mid Suffolk 007D,E07000203,Mid Suffolk,16.256,17986,6,0.113,24214,8,0.067,26230,8,13.835,19129,6,-0.667,25951,8,-0.8,27707,9,44.755,1040,1,37.49,5888,2,0.208,22413,7,0.081,24655,8,-0.173,19029,6,0.218,17595,6,83.52,308,1,-4.163,31411,10,0.91,2991,1,-1.028,31468,10,1326,188,477,822
E01030088,Mid Suffolk 001D,E07000203,Mid Suffolk,13.807,20626,7,0.104,25501,8,0.072,24961,8,14.423,18603,6,-0.786,27364,9,-1.614,33033,10,38.017,2751,1,34.717,7006,3,0.234,20762,7,0.054,29240,9,0.089,15127,5,0.194,20990,7,73.613,1285,1,-1.897,24399,8,0.822,3809,2,-0.741,28523,9,1250,187,473,712
E01030089,Mid Suffolk 006E,E07000203,Mid Suffolk,14.294,20094,6,0.146,20535,7,0.086,21654,7,22.277,12873,4,-0.088,17717,6,-0.812,27857,9,30.137,6497,2,10.587,23166,7,0.328,15335,5,0.063,27742,9,0.636,8022,3,0.205,19472,6,65.43,2383,1,-3.404,29685,9,-0.15,18906,6,-0.662,27409,9,2193,303,849,1230
E01030090,Mid Suffolk 003C,E07000203,Mid Suffolk,16.299,17934,6,0.092,27117,9,0.062,27649,9,11.794,20987,7,-1.158,30695,10,-1.533,32825,10,51.322,194,1,39.126,5247,2,0.163,25832,8,0.057,28739,9,-0.172,19021,6,0.193,21106,7,87.283,122,1,-1.68,23494,7,0.919,2902,1,-0.588,26324,8,2494,394,895,1435
E01033316,Mid Suffolk 010F,E07000203,Mid Suffolk,8.724,26555,8,0.121,23252,7,0.07,25678,8,11.303,21474,7,-0.152,18665,6,-0.484,23684,8,18.847,18619,6,4.513,30059,9,0.186,24053,8,0.098,22281,7,-0.075,17545,6,0.175,23892,8,38.411,11665,4,-0.547,18318,6,-1.325,33444,10,-0.112,17724,6,2007,439,284,1323
E01033317,Mid Suffolk 010G,E07000203,Mid Suffolk,17.973,16381,5,0.22,14244,5,0.115,16034,5,24.043,11884,4,-0.063,17351,6,0.133,14803,5,17.444,20654,7,22.056,13891,5,0.343,14571,5,0.146,17133,6,0.607,8327,3,0.23,16043,5,32.982,16739,5,0.297,14493,5,0,15725,5,0.529,7594,3,1791,364,269,1230
E01033319,Mid Suffolk 010H,E07000203,Mid Suffolk,6.453,29248,9,0.11,24663,8,0.057,28770,9,8.098,24666,8,-0.943,28971,9,-0.795,27637,9,22.532,13766,5,5.288,29139,9,0.161,25971,8,0.086,23927,8,-0.378,22249,7,0.167,25045,8,44.975,7443,3,-1,20466,7,-1.263,33330,10,-0.021,15922,5,2737,703,323,1763
E01034570,Mid Suffolk 003D,E07000203,Mid Suffolk,13.063,21384,7,0.115,24007,8,0.063,27229,9,12.229,20584,7,-0.987,29369,9,-1.332,32003,10,38.729,2513,1,32.232,8197,3,0.228,21115,7,0.08,24744,8,-0.48,23679,8,0.228,16300,5,71.501,1543,1,-0.869,19871,6,0.728,4814,2,-0.5,24864,8,1712,223,730,934
E01034571,Mid Suffolk 003E,E07000203,Mid Suffolk,16.978,17298,6,0.127,22561,7,0.086,21628,7,13.445,19469,6,-0.594,25019,8,-1.33,31995,10,45.197,946,1,33.465,7603,3,0.241,20269,7,0.082,24543,8,-0.48,23681,8,0.242,14618,5,75.925,1012,1,0.105,15362,5,0.763,4444,2,-0.487,24653,8,1076,145,419,635
E01029925,West Suffolk 015A,E07000245,West Suffolk,11.31,23403,7,0.124,22886,7,0.057,28845,9,13.455,19462,6,-0.919,28739,9,0.47,9968,3,13.051,26697,8,35.252,6813,3,0.23,20972,7,0.127,18995,6,-0.837,28034,9,0.263,12305,4,31.764,17955,6,-0.895,19995,6,0.593,6361,2,0.448,8505,3,1834,228,502,1231
E01029926,West Suffolk 002A,E07000245,West Suffolk,13.301,21131,7,0.076,29187,9,0.077,23716,8,36.06,6672,2,-0.159,18766,6,-1.458,32575,10,32.896,4885,2,1.486,33112,10,0.158,26162,8,0.047,30422,10,0.704,7268,3,0.334,6153,2,51.416,5062,2,0.985,11722,4,-1.097,32800,10,-0.779,29016,9,1682,189,763,900
E01029927,West Suffolk 002B,E07000245,West Suffolk,36.563,5606,2,0.319,8597,3,0.172,9028,3,59.955,1584,1,0.788,6571,2,0.799,5904,2,33.499,4564,2,19.634,15573,5,0.415,11316,4,0.277,9086,3,1.614,1129,1,0.375,3612,2,42.485,8761,3,2.705,6461,2,0.092,13958,5,0.059,14512,5,2520,582,572,1490
E01029928,West Suffolk 002C,E07000245,West Suffolk,20.675,14193,5,0.158,19313,6,0.108,17266,6,41.477,5118,2,-0.391,22213,7,-0.351,21820,7,37.821,2827,1,19.045,15980,5,0.204,22729,7,0.164,15661,5,1.156,3378,2,0.31,7869,3,55.514,4109,2,1.729,9145,3,0.291,10551,4,-0.875,30133,9,1818,295,495,1148
E01029929,West Suffolk 002D,E07000245,West Suffolk,26.032,10471,4,0.223,14037,5,0.155,10751,4,48.227,3564,2,0.211,13363,4,-0.077,17930,6,35.486,3670,2,7.048,27039,9,0.306,16470,5,0.221,11950,4,1.214,3027,1,0.356,4647,2,48.578,5959,2,2.136,7908,3,-0.395,24164,8,-0.574,26102,8,2195,356,722,1289
E01029930,West Suffolk 002E,E07000245,West Suffolk,16.214,18027,6,0.14,21201,7,0.089,20892,7,27.27,10236,4,-0.275,20478,7,-0.556,24694,8,37.43,2951,1,9.19,24645,8,0.303,16632,5,0.108,21028,7,0.06,15557,5,0.33,6383,2,54.376,4336,2,1.774,9005,3,-0.21,20215,6,-0.764,28829,9,1608,230,537,959
E01029937,West Suffolk 008A,E07000245,West Suffolk,11.75,22880,7,0.15,20124,6,0.079,23280,7,9.87,22815,7,-0.767,27131,9,-0.192,19626,6,28.239,7930,3,15.166,18986,6,0.244,20076,6,0.104,21424,7,-0.543,24559,8,0.205,19388,6,55.918,4013,2,-1.365,22089,7,-0.125,18373,6,0.039,14867,5,2357,448,662,1431
E01029938,West Suffolk 004A,E07000245,West Suffolk,38.634,4961,2,0.398,5380,2,0.204,6439,2,57.488,1957,1,0.754,6896,3,0.916,4834,2,31.791,5539,2,6.488,27720,9,0.547,6347,2,0.237,11060,4,1.374,2127,1,0.396,2630,1,42.409,8824,3,2.289,7512,3,-0.324,22659,7,-1.294,32913,10,1527,408,279,900
E01029939,West Suffolk 004B,E07000245,West Suffolk,6.225,29498,9,0.082,28536,9,0.053,29755,9,15.665,17585,6,-0.728,26688,8,-1.436,32490,10,22.607,13675,5,1.552,33073,10,0.151,26692,8,0.083,24297,8,-0.468,23508,7,0.265,12064,4,45.858,7006,3,-1.247,21549,7,-0.949,31975,10,-0.912,30496,10,1644,215,430,1113
